StoreId,Upc,Qty,Sku,Uom,Pack,StoreProductName,StoreDescription,Price,Sprice,Start,End,Tax,TaxLevel,Altupc1,Altupc2,Altupc3,Altupc4,Altupc5,Vintage,Cost,Deposit
10128,#850892003630   ,10,#14498,750 M,1,REPLICA - RED WINE                                          ,REPLICA - RED WINE,8.970,0.0000, , ,0.04000,1, , , , , ,,72,0
10128,#850892003739   ,14,#14499,750 M,1,REPLICA - CHARDONNAY                                        ,REPLICA - CHARDONNAY,7.970,0.0000, , ,0.04000,1, , , , , ,,60,0
10128,#851355004010   ,3,#14511,750 M,1,BLOCK & TACKLE - CABERNET                                   ,BLOCK & TACKLE - CABERNET,16.990,0.0000, , ,0.04000,1, , , , , ,,144,0
10128,#851456001017   ,2,#14515,750 M,1,GREEN MOUNTAIN VODKA                                        ,GREEN MOUNTAIN VODKA,25.990,0.0000, , ,0.04000,1, , , , , ,,204,0
10128,#851460002369   ,3,#14519,750 M,1,WHISTLEPIG - STRAIGHT RYE 15 Y                              ,WHISTLEPIG - STRAIGHT RYE 15 Y,259.990,0.0000, , ,0.04000,1, , , , , ,,588,0
10128,#851532004000   ,1,#14523,750 M,1,BRENNE                                                      ,BRENNE,45.990,0.0000, , ,0.04000,1, , , , , ,,0.0000,0
10128,#851532005007   ,4,#14524,750 M,1,INFUSE VODKA - CINNA APPLE                                  ,INFUSE VODKA - CINNA APPLE,26.990,0.0000, , ,0.04000,1, , , , , ,,120,0
10128,#851718000048   ,33,#14529,750 M,1,MARK WEST PINOT NOIR                                        ,MARK WEST PINOT NOIR,11.970,0.0000, , ,0.04000,1, , , , , ,,112,0
10128,#851718000673   ,7,#14530,750 M,1,REDWOOD EMPIRE - AMERICAN WHIS                              ,REDWOOD EMPIRE - AMERICAN WHIS,34.990,0.0000, , ,0.04000,1, , , , , ,,173.94,0
10128,#851756002103   ,2,#14531,750 M,1,GARRISON BROTHER'S                                          ,GARRISON BROTHER'S,84.990,0.0000, , ,0.04000,1, , , , , ,,400,0
10128,#851767001300   ,11,#14534,750 M,1,MIDNIGHT MOON APPLE PIE                                     ,MIDNIGHT MOON APPLE PIE,19.990,0.0000, , ,0.04000,1, , , , , ,,89,0
10128,#851767001898   ,2,#14536,750 M,1,MIDNIGHT MOON 100 PF                                        ,MIDNIGHT MOON 100 PF,19.990,0.0000, , ,0.04000,1, , , , , ,,89,0
10128,#852076005003   ,18,#14538,750 M,1,BELLION VODKA                                               ,BELLION VODKA,14.970,0.0000, , ,0.04000,1, , , , , ,,0.0000,0
10128,#852165006362   ,10,#14539,750 M,1,MASCIARELLI MONTEPULCIANO                                   ,MASCIARELLI MONTEPULCIANO,12.970,0.0000, , ,0.04000,1, , , , , ,,105.23,0
10128,#852444003037   ,3,#14552,750 M,1,BULLY BOY                                                   ,BULLY BOY,39.990,0.0000, , ,0.04000,1, , , , , ,,162,0
10128,#852444003044   ,5,#14553,750 M,1,BULLY BOY - BOSTON RUM                                      ,BULLY BOY - BOSTON RUM,34.990,0.0000, , ,0.04000,1, , , , , ,,147,0
10128,#852935001153   ,4,#14561,750 M,1,CHOPIN POTATO VODKA                                         ,CHOPIN POTATO VODKA,36.990,0.0000, , ,0.04000,1, , , , , ,,0.0000,0
10128,#853086008008   ,35,#14563,750 M,1,FITVINES - CAB SAUV                                         ,FITVINES - CAB SAUV,16.990,0.0000, , ,0.04000,1, , , , , ,,142.89,0
10128,#853086008039   ,6,#14564,750 M,1,FITVINES - SAUV BLANC                                       ,FITVINES - SAUV BLANC,16.990,0.0000, , ,0.04000,1, , , , , ,,120,0
10128,#853086008077   ,16,#14565,750 M,1,FITVINES - PINOT GRIGIO                                     ,FITVINES - PINOT GRIGIO,16.990,0.0000, , ,0.04000,1, , , , , ,,120.89,0
10128,#853507000024   ,4,#14583,750 M,1,AVIATION GIN                                                ,AVIATION GIN,29.990,0.0000, , ,0.04000,1, , , , , ,,133.44,0
10128,#853763001780   ,0,#14590,750 M,1,NEYERS - RED WINE                                           ,NEYERS - RED WINE,39.990,0.0000, , ,0.04000,1, , , , , ,,120,0
10128,#853810         ,13,#14597,750 M,1,E & J  VSOP                                                 ,E & J  VSOP,13.990,0.0000, , ,0.04000,1,#085000003817   , , , , ,,114.55,0
10128,#853826005038   ,1,#14599,1.75 ,1,BRECKENRIDGE BOURBON                                        ,BRECKENRIDGE BOURBON,69.990,0.0000, , ,0.04000,1, , , , , ,,341.46,0
10128,#853915008247   ,6,#14607,750 M,1,OLE SMOKY - PICKLES                                         ,OLE SMOKY - PICKLES,26.990,0.0000, , ,0.04000,1, , , , , ,,123.95,0
10128,#854125003022   ,2,#14617,750 M,1,TRES AGAVES ANEJO                                           ,TRES AGAVES ANEJO,33.990,0.0000, , ,0.04000,1, , , , , ,,155.95,0
10128,#854396005008   ,3,#14621,750 M,1,HIGH WEST - DOUBLE RYE WHISKEY                              ,HIGH WEST - DOUBLE RYE WHISKEY,32.990,0.0000, , ,0.04000,1, , , , , ,,152,0
10128,#854396005022   ,3,#14622,750 M,1,HIGH WEST - RENDEZVOUS RYE WHI                              ,HIGH WEST - RENDEZVOUS RYE WHI,64.990,0.0000, , ,0.04000,1, , , , , ,,281.94,0
10128,#854396005251   ,2,#14626,375 M,1,HIGH WEST - AMERICAN PRAIRIE B                              ,HIGH WEST - AMERICAN PRAIRIE B,19.990,0.0000, , ,0.04000,1, , , , , ,,160,0
10128,#854396005305   ,40,#14628,750 M,1,HIGH WEST - AMERICAN PRAIRIE B                              ,HIGH WEST - AMERICAN PRAIRIE B,32.990,0.0000, , ,0.04000,1, , , , , ,,152,0
10128,#854501005022   ,5,#14634,750 M,1,DEVOTION BLACK & BLUE                                       ,DEVOTION BLACK & BLUE,17.990,0.0000, , ,0.04000,1, , , , , ,,81.75,0
10128,#854501005190   ,51,#14636,50 ML,1,DEVOTION VODKA/COSMO                                        ,DEVOTION VODKA/COSMO,1.250,0.0000, , ,0.04000,1, , , , , ,,39.6,0
10128,#855400005038   ,2,#14668,750 M,1,JACKSON MORGAN  - SALTED CARAMEL                            ,JACKSON MORGAN  - SALTED CARAMEL,29.990,0.0000, , ,0.04000,1, , , , , ,,110.94,0
10128,#855410003024   ,1,#14669,750 M,1,WESTLAND - AMERICAN SINGLE MAL                              ,WESTLAND - AMERICAN SINGLE MAL,69.990,0.0000, , ,0.04000,1, , , , , ,,330,0
